row_id,issue
0,Missing booking_url
0,last_review_date missing/unparseable
1,Missing booking_url
1,last_review_date missing/unparseable
1,Duplicate email
2,Website missing
2,Missing booking_url
2,last_review_date missing/unparseable
3,Missing booking_url
3,last_review_date missing/unparseable
3,Duplicate email
4,Missing booking_url
4,last_review_date missing/unparseable
5,Missing booking_url
5,last_review_date missing/unparseable
6,Missing booking_url
6,last_review_date missing/unparseable
7,Missing booking_url
7,last_review_date missing/unparseable
8,Missing booking_url
8,last_review_date missing/unparseable
9,Missing booking_url
9,last_review_date missing/unparseable
10,Missing booking_url
10,last_review_date missing/unparseable
11,Missing booking_url
11,last_review_date missing/unparseable
12,Missing booking_url
12,last_review_date missing/unparseable
13,Website missing
13,Missing booking_url
13,last_review_date missing/unparseable
14,Missing booking_url
14,last_review_date missing/unparseable
14,Duplicate email
14,Duplicate domain
14,Duplicate phone
15,Missing booking_url
15,last_review_date missing/unparseable
16,Missing booking_url
16,last_review_date missing/unparseable
17,Missing booking_url
17,last_review_date missing/unparseable
18,Missing booking_url
18,last_review_date missing/unparseable
18,Duplicate domain
18,Duplicate phone
19,Missing booking_url
19,last_review_date missing/unparseable
20,Website missing
20,Missing booking_url
20,last_review_date missing/unparseable
21,Website missing
21,Missing booking_url
21,last_review_date missing/unparseable
22,Website missing
22,Missing booking_url
22,last_review_date missing/unparseable
23,Missing booking_url
23,last_review_date missing/unparseable
24,Website missing
24,Missing booking_url
24,last_review_date missing/unparseable
25,Missing booking_url
25,last_review_date missing/unparseable
26,Missing booking_url
26,last_review_date missing/unparseable
26,Duplicate domain
27,Missing booking_url
27,last_review_date missing/unparseable
27,Duplicate email
28,Missing booking_url
28,last_review_date missing/unparseable
28,Duplicate domain
29,Missing booking_url
29,last_review_date missing/unparseable
29,Duplicate email
29,Duplicate domain
30,Missing booking_url
30,last_review_date missing/unparseable
31,Missing booking_url
31,last_review_date missing/unparseable
32,Website missing
32,Missing booking_url
32,last_review_date missing/unparseable
32,Duplicate phone
33,Missing booking_url
33,last_review_date missing/unparseable
33,Duplicate email
34,Website missing
34,Missing booking_url
34,last_review_date missing/unparseable
35,Missing booking_url
35,last_review_date missing/unparseable
35,Duplicate email
35,Duplicate domain
36,Missing booking_url
36,last_review_date missing/unparseable
36,Duplicate domain
37,Website missing
37,Missing booking_url
37,last_review_date missing/unparseable
38,Missing booking_url
38,last_review_date missing/unparseable
39,Missing booking_url
39,last_review_date missing/unparseable
40,Website missing
40,Missing booking_url
40,last_review_date missing/unparseable
41,Missing booking_url
41,last_review_date missing/unparseable
41,Duplicate email
42,Website missing
42,Missing booking_url
42,last_review_date missing/unparseable
43,Missing booking_url
43,last_review_date missing/unparseable
44,Missing booking_url
44,last_review_date missing/unparseable
45,Missing booking_url
45,last_review_date missing/unparseable
46,Missing booking_url
46,last_review_date missing/unparseable
47,Missing booking_url
47,last_review_date missing/unparseable
48,Website missing
48,Missing booking_url
48,last_review_date missing/unparseable
49,Website missing
49,Missing booking_url
49,last_review_date missing/unparseable
50,Missing booking_url
50,last_review_date missing/unparseable
51,Website missing
51,Missing booking_url
51,last_review_date missing/unparseable
51,Duplicate email
52,Missing booking_url
52,last_review_date missing/unparseable
52,Duplicate email
53,Missing booking_url
53,last_review_date missing/unparseable
54,Missing booking_url
54,last_review_date missing/unparseable
55,Missing booking_url
55,last_review_date missing/unparseable
56,Missing booking_url
56,last_review_date missing/unparseable
57,Missing booking_url
57,last_review_date missing/unparseable
58,Missing booking_url
58,last_review_date missing/unparseable
59,Website missing
59,Missing booking_url
59,last_review_date missing/unparseable
59,Duplicate email
60,Missing booking_url
60,last_review_date missing/unparseable
60,Duplicate email
61,Missing booking_url
61,last_review_date missing/unparseable
62,Missing booking_url
62,last_review_date missing/unparseable
62,Duplicate email
62,Duplicate domain
62,Duplicate phone
63,Missing booking_url
63,last_review_date missing/unparseable
64,Missing booking_url
64,last_review_date missing/unparseable
65,Missing booking_url
65,last_review_date missing/unparseable
65,Duplicate email
65,Duplicate domain
65,Duplicate phone
66,Missing booking_url
66,last_review_date missing/unparseable
67,Missing booking_url
67,last_review_date missing/unparseable
68,Missing booking_url
68,last_review_date missing/unparseable
69,Missing booking_url
69,last_review_date missing/unparseable
69,Duplicate email
70,Missing booking_url
70,last_review_date missing/unparseable
71,Missing booking_url
71,last_review_date missing/unparseable
72,Missing booking_url
72,last_review_date missing/unparseable
73,Missing booking_url
73,last_review_date missing/unparseable
74,Website missing
74,Missing booking_url
74,last_review_date missing/unparseable
75,Missing booking_url
75,last_review_date missing/unparseable
76,Missing booking_url
76,last_review_date missing/unparseable
77,Missing booking_url
77,last_review_date missing/unparseable
77,Duplicate email
78,Missing booking_url
78,last_review_date missing/unparseable
79,Website missing
79,Missing booking_url
79,last_review_date missing/unparseable
80,Missing booking_url
80,last_review_date missing/unparseable
81,Missing booking_url
81,last_review_date missing/unparseable
81,Duplicate domain
82,Missing booking_url
82,last_review_date missing/unparseable
83,Missing booking_url
83,last_review_date missing/unparseable
84,Missing booking_url
84,last_review_date missing/unparseable
85,Website missing
85,Missing booking_url
85,last_review_date missing/unparseable
86,Missing city
86,Missing booking_url
86,last_review_date missing/unparseable
86,Duplicate email
87,Missing booking_url
87,last_review_date missing/unparseable
88,Missing booking_url
88,last_review_date missing/unparseable
89,Website missing
89,Missing booking_url
89,last_review_date missing/unparseable
90,Missing booking_url
90,last_review_date missing/unparseable
91,Missing booking_url
91,last_review_date missing/unparseable
92,Missing booking_url
92,last_review_date missing/unparseable
93,Missing booking_url
93,last_review_date missing/unparseable
94,Missing booking_url
94,last_review_date missing/unparseable
95,Missing booking_url
95,last_review_date missing/unparseable
96,Missing booking_url
96,last_review_date missing/unparseable
97,Missing booking_url
97,last_review_date missing/unparseable
97,Duplicate email
97,Duplicate domain
98,Missing booking_url
98,last_review_date missing/unparseable
99,Missing booking_url
99,last_review_date missing/unparseable
100,Missing booking_url
100,last_review_date missing/unparseable
101,Website missing
101,Missing booking_url
101,last_review_date missing/unparseable
101,Duplicate email
102,Missing booking_url
102,last_review_date missing/unparseable
103,Missing booking_url
103,last_review_date missing/unparseable
104,Missing booking_url
104,last_review_date missing/unparseable
105,Missing booking_url
105,last_review_date missing/unparseable
106,Missing booking_url
106,last_review_date missing/unparseable
106,Duplicate email
106,Duplicate domain
107,Missing booking_url
107,last_review_date missing/unparseable
108,Directory-only website
108,Missing booking_url
108,last_review_date missing/unparseable
108,Duplicate email
108,Duplicate domain
109,Missing booking_url
109,last_review_date missing/unparseable
109,Duplicate email
109,Duplicate domain
109,Duplicate phone
110,Missing booking_url
110,last_review_date missing/unparseable
111,Missing booking_url
111,last_review_date missing/unparseable
112,Missing booking_url
112,last_review_date missing/unparseable
113,Missing booking_url
113,last_review_date missing/unparseable
114,Missing booking_url
114,last_review_date missing/unparseable
115,Website missing
115,Missing booking_url
115,last_review_date missing/unparseable
116,Missing booking_url
116,last_review_date missing/unparseable
117,Website missing
117,Missing booking_url
117,last_review_date missing/unparseable
118,Missing booking_url
118,last_review_date missing/unparseable
118,Duplicate email
118,Duplicate domain
119,Missing booking_url
119,last_review_date missing/unparseable
119,Duplicate email
120,Website missing
120,Missing booking_url
120,last_review_date missing/unparseable
121,Missing booking_url
121,last_review_date missing/unparseable
121,Duplicate email
122,Missing booking_url
122,last_review_date missing/unparseable
123,Missing booking_url
123,last_review_date missing/unparseable
124,Missing booking_url
124,last_review_date missing/unparseable
125,Missing booking_url
125,last_review_date missing/unparseable
125,Duplicate email
126,Missing booking_url
126,last_review_date missing/unparseable
127,Website missing
127,Missing booking_url
127,last_review_date missing/unparseable
128,Missing booking_url
128,last_review_date missing/unparseable
129,Missing booking_url
129,last_review_date missing/unparseable
130,Missing booking_url
130,last_review_date missing/unparseable
