Business Name,Email,First Name,Last Name,Phone,Website,City,State,Rating,Reviews,Competitor Name,Competitor Short,Competitor Reviews,Greeting,Subject Line,Opening Line,Pain Point,Competitor Intel,Solution Bullets,Guarantee,Urgency,CTA,PS Line
Elite Medical Spa,elitemedspallc@gmail.com,,,+17033563720,elitemedspallc.com,Vienna,VA,5.0,34,Milani MedSpa,,369,Hi there,"","I was researching Medical Spa in Vienna for a client project, and I noticed something concerning about Elite Medical Spa's online presence compared to Milani MedSpa.","Here's what's happening: Milani MedSpa shows up for nearly every search while Elite Medical Spa is buried on page 2 or 3. They have 369 reviews to your 34, so Google assumes they're more trustworthy. Even when someone searches for YOUR business by name, Milani MedSpa often appears right next to you.","I did a quick analysis: Milani MedSpa gets 3x more visibility than you for high-intent searches. They're not better - they just optimized their Google presence. The good news? Their weak spots are easy to exploit.","✓ Get you ranking #1-3 on Google Maps for your top 5 keywords
✓ Generate 30-50 authentic 5-star reviews in 90 days (100% legitimate)
✓ Fix the website technical issues causing 60% of visitors to leave
✓ Set up conversion tracking so you know exactly how many customers come from Google
✓ Create a review automation system that runs on autopilot","I guarantee in 90 days: Top 3 Google Maps ranking for at least 3 of your main keywords, minimum 30 new authentic reviews, and at least 15 trackable leads from Google - or you pay absolutely nothing. No contracts, cancel anytime.","I only work with one Medical Spa per area. I've been in discussions with Milani MedSpa, but honestly, I think Elite Medical Spa has more potential. I need to make a decision by Friday.","Reply ""SHOW ME"" and I'll send a 5-minute video breaking down exactly what Milani MedSpa is doing to beat you, and the 3 quick fixes that would put Elite Medical Spa on top. No sales call - just watch the video and decide if it makes sense.","P.S. While Elite Medical Spa stays stuck at 34 reviews, Milani MedSpa is actively growing. The gap widens every month."
Flawless Beauty Medical Spa,zahramohseni@flawlessbeautymedicalspa.com,,,+12028085818,flawlessbeautymedicalspa.com,McLean,VA,4.8,19,Anastasia Medical Aesthetics,,325,Hi there,"","I was researching Medical Spa in McLean for a client project, and I noticed something concerning about Flawless Beauty Medical Spa's online presence compared to Anastasia Medical Aesthetics.","Here's what's happening: Anastasia Medical Aesthetics shows up for nearly every search while Flawless Beauty Medical Spa is buried on page 2 or 3. They have 325 reviews to your 19, so Google assumes they're more trustworthy. Even when someone searches for YOUR business by name, Anastasia Medical often appears right next to you.","I did a quick analysis: Anastasia Medical gets 3x more visibility than you for high-intent searches. They're not better - they just optimized their Google presence. The good news? Their weak spots are easy to exploit.","✓ Get you ranking #1-3 on Google Maps for your top 5 keywords
✓ Generate 30-50 authentic 5-star reviews in 90 days (100% legitimate)
✓ Fix the website technical issues causing 60% of visitors to leave
✓ Set up conversion tracking so you know exactly how many customers come from Google
✓ Create a review automation system that runs on autopilot","I guarantee in 90 days: Top 3 Google Maps ranking for at least 3 of your main keywords, minimum 30 new authentic reviews, and at least 15 trackable leads from Google - or you pay absolutely nothing. No contracts, cancel anytime.","I only work with one Medical Spa per area. I've been in discussions with Anastasia Medical, but honestly, I think Flawless Beauty Medical Spa has more potential. I need to make a decision by Friday.","Reply ""SHOW ME"" and I'll send a 5-minute video breaking down exactly what Anastasia Medical is doing to beat you, and the 3 quick fixes that would put Flawless Beauty Medical Spa on top. No sales call - just watch the video and decide if it makes sense.","P.S. While Flawless Beauty Medical Spa stays stuck at 19 reviews, Anastasia Medical is actively growing. The gap widens every month."
Asthetik Skin Medical Spa Mclean,info@asthetikskin.com,,,+15715625855,asthetikskin.com,McLean,VA,5.0,13,Anastasia Medical Aesthetics,,325,Hi there,"","I was researching Medical Spa in McLean for a client project, and I noticed something concerning about Asthetik Skin Medical Spa Mclean's online presence compared to Anastasia Medical Aesthetics.","Here's what's happening: Anastasia Medical Aesthetics shows up for nearly every search while Asthetik Skin Medical Spa Mclean is buried on page 2 or 3. They have 325 reviews to your 13, so Google assumes they're more trustworthy. Even when someone searches for YOUR business by name, Anastasia Medical often appears right next to you.","I did a quick analysis: Anastasia Medical gets 3x more visibility than you for high-intent searches. They're not better - they just optimized their Google presence. The good news? Their weak spots are easy to exploit.","✓ Get you ranking #1-3 on Google Maps for your top 5 keywords
✓ Generate 30-50 authentic 5-star reviews in 90 days (100% legitimate)
✓ Fix the website technical issues causing 60% of visitors to leave
✓ Set up conversion tracking so you know exactly how many customers come from Google
✓ Create a review automation system that runs on autopilot","I guarantee in 90 days: Top 3 Google Maps ranking for at least 3 of your main keywords, minimum 30 new authentic reviews, and at least 15 trackable leads from Google - or you pay absolutely nothing. No contracts, cancel anytime.","I only work with one Medical Spa per area. I've been in discussions with Anastasia Medical, but honestly, I think Asthetik Skin Medical Spa Mclean has more potential. I need to make a decision by Friday.","Reply ""SHOW ME"" and I'll send a 5-minute video breaking down exactly what Anastasia Medical is doing to beat you, and the 3 quick fixes that would put Asthetik Skin Medical Spa Mclean on top. No sales call - just watch the video and decide if it makes sense.","P.S. While Asthetik Skin Medical Spa Mclean stays stuck at 13 reviews, Anastasia Medical is actively growing. The gap widens every month."
Skinkure Spa,hello@skinkure.com,The,Medical,+17033565111,skinkure.com,McLean,VA,5.0,9,Anastasia Medical Aesthetics,,325,Hi The,"The, Anastasia Medical has 325 reviews to your 9","I was researching Healthcare in McLean for a client project, and I noticed something concerning about Skinkure Spa's online presence compared to Anastasia Medical Aesthetics.","Here's what's happening: Anastasia Medical Aesthetics shows up for nearly every search while Skinkure Spa is buried on page 2 or 3. They have 325 reviews to your 9, so Google assumes they're more trustworthy. Even when someone searches for YOUR business by name, Anastasia Medical often appears right next to you.","I did a quick analysis: Anastasia Medical gets 3x more visibility than you for high-intent searches. They're not better - they just optimized their Google presence. The good news? Their weak spots are easy to exploit.","✓ Get you ranking #1-3 on Google Maps for your top 5 keywords
✓ Generate 30-50 authentic 5-star reviews in 90 days (100% legitimate)
✓ Fix the website technical issues causing 60% of visitors to leave
✓ Set up conversion tracking so you know exactly how many customers come from Google
✓ Create a review automation system that runs on autopilot","I guarantee in 90 days: Top 3 Google Maps ranking for at least 3 of your main keywords, minimum 30 new authentic reviews, and at least 15 trackable leads from Google - or you pay absolutely nothing. No contracts, cancel anytime.","I only work with one business per area. I've been in discussions with Anastasia Medical, but honestly, I think Skinkure Spa has more potential. I need to make a decision by Friday.","Reply ""SHOW ME"" and I'll send a 5-minute video breaking down exactly what Anastasia Medical is doing to beat you, and the 3 quick fixes that would put Skinkure Spa on top. No sales call - just watch the video and decide if it makes sense.","P.S. Skinkure Spa's 9 reviews put you below Google's minimum threshold for local pack visibility. Every day without action = lost customers."
TruIdentity Spa by Jamyra,info@truidentityspa.com,Jamyra,Alexander,+17032860339,truidentityspa.com,McLean,VA,4.9,45,Anastasia Medical Aesthetics,,325,Hi Jamyra,"Jamyra, Anastasia Medical has 325 reviews to your 45","I was researching Healthcare in McLean for a client project, and I noticed something concerning about TruIdentity Spa by Jamyra's online presence compared to Anastasia Medical Aesthetics.","Here's what's happening: Anastasia Medical Aesthetics shows up for nearly every search while TruIdentity Spa by Jamyra is buried on page 2 or 3. They have 325 reviews to your 45, so Google assumes they're more trustworthy. Even when someone searches for YOUR business by name, Anastasia Medical often appears right next to you.","I did a quick analysis: Anastasia Medical gets 3x more visibility than you for high-intent searches. They're not better - they just optimized their Google presence. The good news? Their weak spots are easy to exploit.","✓ Get you ranking #1-3 on Google Maps for your top 5 keywords
✓ Generate 30-50 authentic 5-star reviews in 90 days (100% legitimate)
✓ Fix the website technical issues causing 60% of visitors to leave
✓ Set up conversion tracking so you know exactly how many customers come from Google
✓ Create a review automation system that runs on autopilot","I guarantee in 90 days: Top 3 Google Maps ranking for at least 3 of your main keywords, minimum 30 new authentic reviews, and at least 15 trackable leads from Google - or you pay absolutely nothing. No contracts, cancel anytime.","I only work with one business per area. I've been in discussions with Anastasia Medical, but honestly, I think TruIdentity Spa by Jamyra has more potential. I need to make a decision by Friday.","Reply ""SHOW ME"" and I'll send a 5-minute video breaking down exactly what Anastasia Medical is doing to beat you, and the 3 quick fixes that would put TruIdentity Spa by Jamyra on top. No sales call - just watch the video and decide if it makes sense.","P.S. While TruIdentity Spa by Jamyra stays stuck at 45 reviews, Anastasia Medical is actively growing. The gap widens every month."
Sample Medical Spa,info@samplemedspa.com,,,,samplemedspa.com,Ashburn,VA,4.5,127,ARIA Medi Spa,,716,Hi there,"","I was researching Medical Spa in Ashburn for a client project, and I noticed something concerning about Sample Medical Spa's online presence compared to ARIA Medi Spa.","Here's what's happening: ARIA Medi Spa shows up for nearly every search while Sample Medical Spa is buried on page 2 or 3. They have 716 reviews to your 127, so Google assumes they're more trustworthy. Even when someone searches for YOUR business by name, ARIA Medi Spa often appears right next to you.","I did a quick analysis: ARIA Medi Spa gets 3x more visibility than you for high-intent searches. They're not better - they just optimized their Google presence. The good news? Their weak spots are easy to exploit.","✓ Get you ranking #1-3 on Google Maps for your top 5 keywords
✓ Generate 30-50 authentic 5-star reviews in 90 days (100% legitimate)
✓ Fix the website technical issues causing 60% of visitors to leave
✓ Set up conversion tracking so you know exactly how many customers come from Google
✓ Create a review automation system that runs on autopilot","I guarantee in 90 days: Top 3 Google Maps ranking for at least 3 of your main keywords, minimum 30 new authentic reviews, and at least 15 trackable leads from Google - or you pay absolutely nothing. No contracts, cancel anytime.","I only work with one Medical Spa per area. I've been in discussions with ARIA Medi Spa, but honestly, I think Sample Medical Spa has more potential. I need to make a decision by Friday.","Reply ""SHOW ME"" and I'll send a 5-minute video breaking down exactly what ARIA Medi Spa is doing to beat you, and the 3 quick fixes that would put Sample Medical Spa on top. No sales call - just watch the video and decide if it makes sense.","P.S. While Sample Medical Spa stays stuck at 127 reviews, ARIA Medi Spa is actively growing. The gap widens every month."
RxWellness Aesthetics & Anti-Aging,Request-medspa@rxwellness.com,,,,,Ashburn,VA,5.0,284,ARIA Medi Spa,,716,Hi there,"","I was researching Aesthetics in Ashburn for a client project, and I noticed something concerning about RxWellness Aesthetics & Anti-Aging's online presence compared to ARIA Medi Spa.","Here's what's happening: ARIA Medi Spa shows up for nearly every search while RxWellness Aesthetics & Anti-Aging is buried on page 2 or 3. They have 716 reviews to your 284, so Google assumes they're more trustworthy. Even when someone searches for YOUR business by name, ARIA Medi Spa often appears right next to you.","I did a quick analysis: ARIA Medi Spa gets 3x more visibility than you for high-intent searches. They're not better - they just optimized their Google presence. The good news? Their weak spots are easy to exploit.","✓ Get you ranking #1-3 on Google Maps for your top 5 keywords
✓ Generate 30-50 authentic 5-star reviews in 90 days (100% legitimate)
✓ Fix the missing website that's costing you 40% of potential customers
✓ Set up conversion tracking so you know exactly how many customers come from Google
✓ Create a review automation system that runs on autopilot","I guarantee in 90 days: Top 3 Google Maps ranking for at least 3 of your main keywords, minimum 30 new authentic reviews, and at least 15 trackable leads from Google - or you pay absolutely nothing. No contracts, cancel anytime.","I only work with one Aesthetics per area. I've been in discussions with ARIA Medi Spa, but honestly, I think RxWellness Aesthetics & Anti-Aging has more potential. I need to make a decision by Friday.","Reply ""SHOW ME"" and I'll send a 5-minute video breaking down exactly what ARIA Medi Spa is doing to beat you, and the 3 quick fixes that would put RxWellness Aesthetics & Anti-Aging on top. No sales call - just watch the video and decide if it makes sense.","P.S. RxWellness Aesthetics & Anti-Aging doesn't have a website on Google. You're losing 40% of potential customers who research before calling. This is the easiest fix."
Blush Medi Spa,blushvirginia2023@gmail.com,,,,,Ashburn,VA,5.0,387,ARIA Medi Spa,,716,Hi there,"","I was researching Medical Spa in Ashburn for a client project, and I noticed something concerning about Blush Medi Spa's online presence compared to ARIA Medi Spa.","Blush Medi Spa should be the obvious choice for Medical Spa in Ashburn, but online visibility gaps are sending those customers elsewhere. Small fixes could bring 20-30 new customers monthly.","I did a quick analysis: ARIA Medi Spa gets 3x more visibility than you for high-intent searches. They're not better - they just optimized their Google presence. The good news? Their weak spots are easy to exploit.","✓ Get you ranking #1-3 on Google Maps for your top 5 keywords
✓ Generate 30-50 authentic 5-star reviews in 90 days (100% legitimate)
✓ Fix the missing website that's costing you 40% of potential customers
✓ Set up conversion tracking so you know exactly how many customers come from Google
✓ Create a review automation system that runs on autopilot","I guarantee in 90 days: Top 3 Google Maps ranking for at least 3 of your main keywords, minimum 30 new authentic reviews, and at least 15 trackable leads from Google - or you pay absolutely nothing. No contracts, cancel anytime.","I only work with one Medical Spa per area. I've been in discussions with ARIA Medi Spa, but honestly, I think Blush Medi Spa has more potential. I need to make a decision by Friday.","Reply ""SHOW ME"" and I'll send a 5-minute video breaking down exactly what ARIA Medi Spa is doing to beat you, and the 3 quick fixes that would put Blush Medi Spa on top. No sales call - just watch the video and decide if it makes sense.","P.S. Blush Medi Spa doesn't have a website on Google. You're losing 40% of potential customers who research before calling. This is the easiest fix."
Amy Aesthetics and Wellness,info@amyaesthetics.com,,,,,Ashburn,VA,5.0,357,ARIA Medi Spa,,716,Hi there,"","I was researching Aesthetics in Ashburn for a client project, and I noticed something concerning about Amy Aesthetics and Wellness's online presence compared to ARIA Medi Spa.","Here's what's happening: ARIA Medi Spa shows up for nearly every search while Amy Aesthetics and Wellness is buried on page 2 or 3. They have 716 reviews to your 357, so Google assumes they're more trustworthy. Even when someone searches for YOUR business by name, ARIA Medi Spa often appears right next to you.","I did a quick analysis: ARIA Medi Spa gets 3x more visibility than you for high-intent searches. They're not better - they just optimized their Google presence. The good news? Their weak spots are easy to exploit.","✓ Get you ranking #1-3 on Google Maps for your top 5 keywords
✓ Generate 30-50 authentic 5-star reviews in 90 days (100% legitimate)
✓ Fix the missing website that's costing you 40% of potential customers
✓ Set up conversion tracking so you know exactly how many customers come from Google
✓ Create a review automation system that runs on autopilot","I guarantee in 90 days: Top 3 Google Maps ranking for at least 3 of your main keywords, minimum 30 new authentic reviews, and at least 15 trackable leads from Google - or you pay absolutely nothing. No contracts, cancel anytime.","I only work with one Aesthetics per area. I've been in discussions with ARIA Medi Spa, but honestly, I think Amy Aesthetics and Wellness has more potential. I need to make a decision by Friday.","Reply ""SHOW ME"" and I'll send a 5-minute video breaking down exactly what ARIA Medi Spa is doing to beat you, and the 3 quick fixes that would put Amy Aesthetics and Wellness on top. No sales call - just watch the video and decide if it makes sense.","P.S. Amy Aesthetics and Wellness doesn't have a website on Google. You're losing 40% of potential customers who research before calling. This is the easiest fix."
Evexia Medspa,evexia@evexiamedspa.com,Madeline,David,+15712572549,evexiamedspa.com,McLean,VA,5.0,124,Anastasia Medical Aesthetics,,325,Hi Madeline,"Madeline, saw Evexia Medspa online...","I was researching Medical Spa in McLean for a client project, and I noticed something concerning about Evexia Medspa's online presence compared to Anastasia Medical Aesthetics.","Here's what's happening: Anastasia Medical Aesthetics shows up for nearly every search while Evexia Medspa is buried on page 2 or 3. They have 325 reviews to your 124, so Google assumes they're more trustworthy. Even when someone searches for YOUR business by name, Anastasia Medical often appears right next to you.","I did a quick analysis: Anastasia Medical gets 3x more visibility than you for high-intent searches. They're not better - they just optimized their Google presence. The good news? Their weak spots are easy to exploit.","✓ Get you ranking #1-3 on Google Maps for your top 5 keywords
✓ Generate 30-50 authentic 5-star reviews in 90 days (100% legitimate)
✓ Fix the website technical issues causing 60% of visitors to leave
✓ Set up conversion tracking so you know exactly how many customers come from Google
✓ Create a review automation system that runs on autopilot","I guarantee in 90 days: Top 3 Google Maps ranking for at least 3 of your main keywords, minimum 30 new authentic reviews, and at least 15 trackable leads from Google - or you pay absolutely nothing. No contracts, cancel anytime.","I only work with one Medical Spa per area. I've been in discussions with Anastasia Medical, but honestly, I think Evexia Medspa has more potential. I need to make a decision by Friday.","Reply ""SHOW ME"" and I'll send a 5-minute video breaking down exactly what Anastasia Medical is doing to beat you, and the 3 quick fixes that would put Evexia Medspa on top. No sales call - just watch the video and decide if it makes sense.","P.S. While Evexia Medspa stays stuck at 124 reviews, Anastasia Medical is actively growing. The gap widens every month."
